Health Check Execution time is  [2020-11-30 09:20]

NXOS device: [Device AHG-AAT-CSPL_01, type nxos]  INTERFACES STATUS EXCEPTIONS: 
 
Ethernet1/1  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/2  status is xcvrAbsen ,duplex is full , speed is  auto 
Ethernet1/3  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/4  status is connected ,duplex is full , speed is  10G 
Ethernet1/5  status is connected ,duplex is full , speed is  10G 
Ethernet1/6  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/7  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/8  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/9  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/10  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/11  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/12  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/13  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/14  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/15  status is connected ,duplex is full , speed is  10G 
Ethernet1/16  status is connected ,duplex is full , speed is  10G 
Ethernet1/17  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/18  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/19  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/20  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/21  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/22  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/23  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/24  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/25  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/26  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/27  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/28  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/29  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/30  status is connected ,duplex is full , speed is  10G 
Ethernet1/31  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/32  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/33  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/34  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/35  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/36  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/37  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/38  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/39  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/40  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/41  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/42  status is xcvrAbsen ,duplex is auto , speed is  auto 
Ethernet1/43  status is connected ,duplex is full , speed is  10G 
Ethernet1/44  status is connected ,duplex is full , speed is  10G 
Ethernet1/45  status is connected ,duplex is full , speed is  10G 
Ethernet1/46  status is connected ,duplex is full , speed is  10G 
Ethernet1/47  status is connected ,duplex is full , speed is  10G 
Ethernet1/48  status is connected ,duplex is full , speed is  10G 
Ethernet1/49  status is connected ,duplex is full , speed is  40G 
Ethernet1/50  status is connected ,duplex is full , speed is  40G 
Ethernet1/51  status is connected ,duplex is full , speed is  40G 
Ethernet1/52  status is xcvrAbsen ,duplex is full , speed is  auto 
Port-channel33  status is connected ,duplex is full , speed is  10G 
Port-channel56  status is connected ,duplex is full , speed is  10G 
Port-channel111  status is connected ,duplex is full , speed is  40G 
Port-channel112  status is connected ,duplex is full , speed is  40G 
Port-channel113  status is connected ,duplex is full , speed is  40G 
Port-channel121  status is noOperMem ,duplex is full , speed is  auto 
Port-channel334  status is connected ,duplex is full , speed is  10G 
Port-channel700  status is connected ,duplex is full , speed is  10G 
Port-channel807  status is noOperMem ,duplex is full , speed is  auto 
Port-channel1001  status is disabled ,duplex is full , speed is  auto 
Vlan1  status is down ,duplex is auto , speed is  auto 
Vlan5  status is down ,duplex is auto , speed is  auto 
Vlan8  status is connected ,duplex is auto , speed is  auto 
Vlan29  status is down ,duplex is auto , speed is  auto 
Vlan78  status is connected ,duplex is auto , speed is  auto 
Vlan141  status is down ,duplex is auto , speed is  auto 
Vlan142  status is down ,duplex is auto , speed is  auto 
Vlan143  status is down ,duplex is auto , speed is  auto 
Vlan144  status is down ,duplex is auto , speed is  auto 
Vlan145  status is down ,duplex is auto , speed is  auto 
Vlan148  status is down ,duplex is auto , speed is  auto 
Vlan149  status is down ,duplex is auto , speed is  auto 
Vlan150  status is down ,duplex is auto , speed is  auto 
Vlan151  status is down ,duplex is auto , speed is  auto 
Vlan152  status is down ,duplex is auto , speed is  auto 
Vlan153  status is connected ,duplex is auto , speed is  auto 
Vlan154  status is down ,duplex is auto , speed is  auto 
Vlan155  status is down ,duplex is auto , speed is  auto 
Vlan156  status is down ,duplex is auto , speed is  auto 
Vlan157  status is down ,duplex is auto , speed is  auto 
Vlan158  status is down ,duplex is auto , speed is  auto 
Vlan159  status is down ,duplex is auto , speed is  auto 
Vlan160  status is down ,duplex is auto , speed is  auto 
Vlan202  status is down ,duplex is auto , speed is  auto 
Vlan203  status is down ,duplex is auto , speed is  auto 
Vlan207  status is down ,duplex is auto , speed is  auto 
Vlan214  status is connected ,duplex is auto , speed is  auto 
